"","Anio","Mes","Anom_Mensual","Anom_Anual","Fecha"
"1",1850,1,-0.79,-0.475,1850-01-01
"2",1850,2,-0.236,-0.475,1850-02-01
"3",1850,3,-0.396,-0.475,1850-03-01
"4",1850,4,-0.629,-0.475,1850-04-01
"5",1850,5,-0.662,-0.475,1850-05-01
"6",1850,6,-0.387,-0.475,1850-06-01
"7",1850,7,-0.209,-0.426,1850-07-01
"8",1850,8,-0.193,-0.442,1850-08-01
"9",1850,9,-0.452,-0.458,1850-09-01
"10",1850,10,-0.621,-0.461,1850-10-01
"11",1850,11,-0.604,-0.436,1850-11-01
"12",1850,12,-0.521,-0.429,1850-12-01
"13",1851,1,-0.196,-0.432,1851-01-01
"14",1851,2,-0.436,-0.444,1851-02-01
"15",1851,3,-0.588,-0.441,1851-03-01
"16",1851,4,-0.661,-0.404,1851-04-01
"17",1851,5,-0.368,-0.388,1851-05-01
"18",1851,6,-0.293,-0.359,1851-06-01
"19",1851,7,-0.247,-0.365,1851-07-01
"20",1851,8,-0.336,-0.373,1851-08-01
"21",1851,9,-0.422,-0.39,1851-09-01
"22",1851,10,-0.174,-0.382,1851-10-01
"23",1851,11,-0.413,-0.367,1851-11-01
"24",1851,12,-0.179,-0.355,1851-12-01
"25",1852,1,-0.267,-0.341,1852-01-01
"26",1852,2,-0.532,-0.345,1852-02-01
"27",1852,3,-0.787,-0.337,1852-03-01
"28",1852,4,-0.561,-0.339,1852-04-01
"29",1852,5,-0.189,-0.352,1852-05-01
"30",1852,6,-0.153,-0.333,1852-06-01
"31",1852,7,-0.076,-0.343,1852-07-01
"32",1852,8,-0.384,-0.329,1852-08-01
"33",1852,9,-0.333,-0.299,1852-09-01
"34",1852,10,-0.194,-0.278,1852-10-01
"35",1852,11,-0.57,-0.287,1852-11-01
"36",1852,12,0.047,-0.292,1852-12-01
"37",1853,1,-0.38,-0.286,1853-01-01
"38",1853,2,-0.37,-0.261,1853-02-01
"39",1853,3,-0.427,-0.269,1853-03-01
"40",1853,4,-0.303,-0.295,1853-04-01
"41",1853,5,-0.303,-0.304,1853-05-01
"42",1853,6,-0.213,-0.339,1853-06-01
"43",1853,7,-0.004,-0.356,1853-07-01
"44",1853,8,-0.088,-0.377,1853-08-01
"45",1853,9,-0.43,-0.366,1853-09-01
"46",1853,10,-0.502,-0.377,1853-10-01
"47",1853,11,-0.682,-0.379,1853-11-01
"48",1853,12,-0.362,-0.403,1853-12-01
"49",1854,1,-0.587,-0.421,1854-01-01
"50",1854,2,-0.62,-0.432,1854-02-01
"51",1854,3,-0.303,-0.42,1854-03-01
"52",1854,4,-0.432,-0.371,1854-04-01
"53",1854,5,-0.321,-0.336,1854-05-01
"54",1854,6,-0.51,-0.325,1854-06-01
"55",1854,7,-0.217,-0.282,1854-07-01
"56",1854,8,-0.225,-0.243,1854-08-01
"57",1854,9,-0.281,-0.242,1854-09-01
"58",1854,10,0.089,-0.216,1854-10-01
"59",1854,11,-0.26,-0.211,1854-11-01
"60",1854,12,-0.233,-0.2,1854-12-01
"61",1855,1,-0.071,-0.217,1855-01-01
"62",1855,2,-0.151,-0.222,1855-02-01
"63",1855,3,-0.296,-0.241,1855-03-01
"64",1855,4,-0.116,-0.277,1855-04-01
"65",1855,5,-0.264,-0.29,1855-05-01
"66",1855,6,-0.381,-0.32,1855-06-01
"67",1855,7,-0.417,-0.315,1855-07-01
"68",1855,8,-0.286,-0.338,1855-08-01
"69",1855,9,-0.51,-0.35,1855-09-01
"70",1855,10,-0.339,-0.377,1855-10-01
"71",1855,11,-0.418,-0.386,1855-11-01
"72",1855,12,-0.586,-0.369,1855-12-01
"73",1856,1,-0.014,-0.358,1856-01-01
"74",1856,2,-0.43,-0.381,1856-02-01
"75",1856,3,-0.443,-0.401,1856-03-01
"76",1856,4,-0.439,-0.431,1856-04-01
"77",1856,5,-0.375,-0.447,1856-05-01
"78",1856,6,-0.169,-0.437,1856-06-01
"79",1856,7,-0.291,-0.483,1856-07-01
"80",1856,8,-0.558,-0.495,1856-08-01
"81",1856,9,-0.748,-0.514,1856-09-01
"82",1856,10,-0.703,-0.548,1856-10-01
"83",1856,11,-0.605,-0.583,1856-11-01
"84",1856,12,-0.472,-0.618,1856-12-01
"85",1857,1,-0.56,-0.639,1857-01-01
"86",1857,2,-0.583,-0.634,1857-02-01
"87",1857,3,-0.66,-0.614,1857-03-01
"88",1857,4,-0.851,-0.602,1857-04-01
"89",1857,5,-0.791,-0.596,1857-05-01
"90",1857,6,-0.599,-0.578,1857-06-01
"91",1857,7,-0.541,-0.553,1857-07-01
"92",1857,8,-0.493,-0.548,1857-08-01
"93",1857,9,-0.512,-0.522,1857-09-01
"94",1857,10,-0.556,-0.477,1857-10-01
"95",1857,11,-0.529,-0.448,1857-11-01
"96",1857,12,-0.263,-0.423,1857-12-01
"97",1858,1,-0.256,-0.408,1858-01-01
"98",1858,2,-0.53,-0.397,1858-02-01
"99",1858,3,-0.34,-0.397,1858-03-01
"100",1858,4,-0.31,-0.376,1858-04-01
"101",1858,5,-0.445,-0.349,1858-05-01
"102",1858,6,-0.301,-0.372,1858-06-01
"103",1858,7,-0.358,-0.383,1858-07-01
"104",1858,8,-0.359,-0.367,1858-08-01
"105",1858,9,-0.515,-0.361,1858-09-01
"106",1858,10,-0.306,-0.337,1858-10-01
"107",1858,11,-0.209,-0.301,1858-11-01
"108",1858,12,-0.529,-0.289,1858-12-01
"109",1859,1,-0.395,-0.289,1859-01-01
"110",1859,2,-0.334,-0.291,1859-02-01
"111",1859,3,-0.269,-0.295,1859-03-01
"112",1859,4,-0.019,-0.291,1859-04-01
"113",1859,5,-0.02,-0.292,1859-05-01
"114",1859,6,-0.154,-0.258,1859-06-01
"115",1859,7,-0.354,-0.256,1859-07-01
"116",1859,8,-0.391,-0.257,1859-08-01
"117",1859,9,-0.554,-0.294,1859-09-01
"118",1859,10,-0.266,-0.318,1859-10-01
"119",1859,11,-0.217,-0.337,1859-11-01
"120",1859,12,-0.127,-0.344,1859-12-01
"121",1860,1,-0.368,-0.34,1860-01-01
"122",1860,2,-0.346,-0.328,1860-02-01
"123",1860,3,-0.713,-0.309,1860-03-01
"124",1860,4,-0.303,-0.319,1860-04-01
"125",1860,5,-0.248,-0.347,1860-05-01
"126",1860,6,-0.241,-0.411,1860-06-01
"127",1860,7,-0.307,-0.468,1860-07-01
"128",1860,8,-0.25,-0.497,1860-08-01
"129",1860,9,-0.326,-0.488,1860-09-01
"130",1860,10,-0.376,-0.501,1860-10-01
"131",1860,11,-0.561,-0.52,1860-11-01
"132",1860,12,-0.896,-0.534,1860-12-01
"133",1861,1,-1.042,-0.538,1861-01-01
"134",1861,2,-0.696,-0.538,1861-02-01
"135",1861,3,-0.61,-0.547,1861-03-01
"136",1861,4,-0.457,-0.557,1861-04-01
"137",1861,5,-0.479,-0.532,1861-05-01
"138",1861,6,-0.403,-0.49,1861-06-01
"139",1861,7,-0.364,-0.484,1861-07-01
"140",1861,8,-0.241,-0.493,1861-08-01
"141",1861,9,-0.442,-0.49,1861-09-01
"142",1861,10,-0.499,-0.502,1861-10-01
"143",1861,11,-0.251,-0.49,1861-11-01
"144",1861,12,-0.398,-0.487,1861-12-01
"145",1862,1,-0.964,-0.49,1862-01-01
"146",1862,2,-0.809,-0.516,1862-02-01
"147",1862,3,-0.578,-0.528,1862-03-01
"148",1862,4,-0.6,-0.528,1862-04-01
"149",1862,5,-0.332,-0.556,1862-05-01
"150",1862,6,-0.368,-0.6,1862-06-01
"151",1862,7,-0.396,-0.534,1862-07-01
"152",1862,8,-0.55,-0.479,1862-08-01
"153",1862,9,-0.589,-0.462,1862-09-01
"154",1862,10,-0.497,-0.436,1862-10-01
"155",1862,11,-0.597,-0.43,1862-11-01
"156",1862,12,-0.923,-0.432,1862-12-01
"157",1863,1,-0.17,-0.435,1863-01-01
"158",1863,2,-0.144,-0.425,1863-02-01
"159",1863,3,-0.374,-0.421,1863-03-01
"160",1863,4,-0.292,-0.42,1863-04-01
"161",1863,5,-0.263,-0.403,1863-05-01
"162",1863,6,-0.395,-0.352,1863-06-01
"163",1863,7,-0.421,-0.38,1863-07-01
"164",1863,8,-0.431,-0.404,1863-08-01
"165",1863,9,-0.542,-0.411,1863-09-01
"166",1863,10,-0.483,-0.423,1863-10-01
"167",1863,11,-0.4,-0.416,1863-11-01
"168",1863,12,-0.312,-0.395,1863-12-01
"169",1864,1,-0.509,-0.382,1864-01-01
"170",1864,2,-0.425,-0.38,1864-02-01
"171",1864,3,-0.457,-0.379,1864-03-01
"172",1864,4,-0.437,-0.37,1864-04-01
"173",1864,5,-0.178,-0.37,1864-05-01
"174",1864,6,-0.148,-0.384,1864-06-01
"175",1864,7,-0.265,-0.336,1864-07-01
"176",1864,8,-0.406,-0.329,1864-08-01
"177",1864,9,-0.533,-0.329,1864-09-01
"178",1864,10,-0.365,-0.328,1864-10-01
"179",1864,11,-0.408,-0.339,1864-11-01
"180",1864,12,-0.471,-0.353,1864-12-01
"181",1865,1,0.06,-0.353,1865-01-01
"182",1865,2,-0.336,-0.341,1865-02-01
"183",1865,3,-0.459,-0.319,1865-03-01
"184",1865,4,-0.421,-0.307,1865-04-01
"185",1865,5,-0.311,-0.289,1865-05-01
"186",1865,6,-0.321,-0.29,1865-06-01
"187",1865,7,-0.269,-0.294,1865-07-01
"188",1865,8,-0.263,-0.299,1865-08-01
"189",1865,9,-0.261,-0.301,1865-09-01
"190",1865,10,-0.228,-0.312,1865-10-01
"191",1865,11,-0.185,-0.318,1865-11-01
"192",1865,12,-0.49,-0.317,1865-12-01
"193",1866,1,0.014,-0.293,1866-01-01
"194",1866,2,-0.39,-0.295,1866-02-01
"195",1866,3,-0.491,-0.302,1866-03-01
"196",1866,4,-0.545,-0.305,1866-04-01
